REFACTORINGS (LABELS),FEATURE REQUEST,SMELLS
"   Rename Method,Extract Method,","Allowing SqlOperator to be overridden in validation Calcite allows function to be overridden at validation step. To be more specific, users can provide their SqlOperatorTable, and, at validation step, their SqlOperatorTable will be called (method: lookupOperatorOverloads) to get a overriding function.  However, so far, SqlOperator (e.g., +, - , *, etc.) does not have this mechanism yet. 

Since other systems (e.g., Apache Drill) would have more flexible type-checks for SqlOperator's operands, this mechanism is necessary for those systems to pass through the validation step.","Duplicated Code, Long Method, ,"
"   Rename Method,Move Method,Extract Method,Push Down Attribute,","Add support for timestampadd / timestampdiff functions When calling timestampadd / timestampdiff with first parameter:

(SQL_TSI_)MICROSECOND ((SQL_TSI_)FRAC_SECOND (deprecated but we can leave for older versions compatibility)), (SQL_TSI_)SECOND, (SQL_TSI_)MINUTE, (SQL_TSI_)HOUR, (SQL_TSI_)DAY, (SQL_TSI_)WEEK, (SQL_TSI_)MONTH, (SQL_TSI_)QUARTER, (SQL_TSI_)YEAR

(ex: timestampadd(second, 1, current_datetime), calcite throws an error:

Caused by: org.apache.calcite.sql.parser.SqlParseException: Encountered ""( SECOND"" at line 1, column 25.
Was expecting one of:
    ""("" ""*"" ...
    ""("" "")"" ...
    ""("" ""WITH"" ...","Duplicated Code, Long Method, , , , "
"   Rename Method,","Add unary operator support for IS_NULL and IS_NOT_NULL to RexImplicationChecker Currently we support only SQL Comparison operators (SqlKind.COMPARE) for checking if one predicate implies another using RexImplicationChecker.
We would like to extend it for couple of Unary operators based on user request ( CALCITE-1104): IS_NULL and IS_NOT_NULL",", "
"   Move Method,Extract Method,","Add ProjectRemoveRule to pre-processing program of materialization substitution In VolcanoPlanner, we apply a simple pre-processing hep program to normalize the ""target"" and ""query"" rels before materialization substitution. Currently this program runs with two rules: FilterProjectTransposeRule and ProjectMergeRule.
We need an extra rule ProjectRemoveRule for the Phoenix use case where a secondary index (modeled as materialized views) is defined on a view so the materialized view ""queryRel"" may have an identity projection introduced by this view.","Duplicated Code, Long Method, , , "
"   Rename Method,Extract Method,Inline Method,","Improve two-level column structure handling Calcite now has support for nested column structure in parsing and validation, by representing the inner-level columns as a RexFieldAccess based on a RexInputRef. Meanwhile it does not flatten the inner level structure in wildcard expansion, which would then cause an UnsupportedOperationException in Avatica.
 
The idea is to take into account this nested structure in column resolving, but to flatten the structure when translating to RelNode/RexNode.
For example, if the table structure is defined as
{code}VARCHAR K0,
VARCHAR C1,
RecordType(INTEGER C0, INTEGER C1) F0,
RecordType(INTEGER C0, INTEGER C2) F1{code}
, it should be viewed as a flat type like
{code}VARCHAR K0,
VARCHAR C1,
INTEGER F0.C0,
INTEGER F0.C1,
INTEGER F1.C0,
INTEGER F1.C2{code}
, so that:
1) Column reference ""K0"" is translated as {{$0}}
2) Column reference ""F0.C1"" is translated as {{$3}}
3) Wildcard ""*"" is translated as: {{$0, $1, $2, $3, $4, $5}}
4) Complex-column wildcard ""F1.*"", which is translated as {{$2, $3}}
And we would like to resolve columns based on the following rules (here we only consider the ""suffix"" part of the qualified names, which means the table resolving is already done by this time):
a) A two-part column name is matched with its first-level column name and its second-level column name. For example, ""F1.C0"" corresponds to $4; ""F1,X"" will throw a column not found error.
b) A single-part column name is matched against non-nested columns first, and if no matches, it is then matched against those second-level column names. For example, ""C1"" will be matched as ""$1"" instead of ""$3"", since non-nested columns have a higher priority; ""C2"" will be matched as ""$5""; ""C0"" will lead to an ambiguous column error, since it exists under both ""F0"" and ""F1"".
c) We would also like to have a way for defining ""default first-level column"" so that it has a precedence in column resolving over other first-level columns. For example, if ""F0"" is defined as default, ""C0"" will not cause an ambiguous column error, but instead be matched as ""$2"".
d) Reference to first-level column only without wildcard is not allowed, e.g., ""F1"".","Duplicated Code, Long Method, , , "
"   Move Class,Move And Rename Class,Extract Interface,Rename Method,Move Method,Move Attribute,","Standardize code style for ""import package.*;"" Our house style does not specify whether/when imports are to be converted to stars. I propose that imports should be converted to stars if there are more than 3 from the same package. Thus:

{code}
import a.b.C1;
import a.b.C2;
import a.b.C3;
{code}

becomes

{code}
import a.b.*;
{code}

when {{a.b.C4}} is added. This is consistent with IntelliJ's default rule.

It is OK to use stars if there are 3 or fewer uses. Thus removing the use of {{a.b.C2}} would not require imports to be changed.

Checkstyle has a rule to ban star imports (excluding certain packages) but does not allow them to be limited to a particular number.",", , , Large Class, "
"   Move Method,Extract Method,Move Attribute,","Add statistics SPI for lattice optimization algorithm In OPTIQ-427 we added an an optimization algorithm to choose an initial set of tiles to materialize. The {{rowCountEstimate}} attribute is the number of rows in the lattice.

Add an SPI to generate estimates of (a) the number of rows in the lattice, (b) the number of rows in a given tile of the lattice (specified by its dimensions).

Also add a default implementation of the SPI that executes SQL queries, caches the results, and uses some kind of approximation for the cardinalities of sets of attributes e.g. if quarter has 4 distinct values and year has 10 distinct values then (year, quarter) has 40 distinct values (or perhaps an expectation of 39.79 distinct values in a table with 3,650 rows, per the formula {{n . (1 - ((n - 1) / n) ^ p)}}).

Implementations that read stats from external stats tables, or execute SQL that samples a small percentage of the rows, would also be possible.","Duplicated Code, Long Method, , , , "
"   Rename Method,Extract Method,Move Attribute,","Make parser accept configurable max length for SQL identifier Calcite currently uses 128 as the maximum length for sql identifier.  We would like to enhance the SQL parser, so that each system should be able to choose its own identifier max length. 

The following is the discussion copied from the dev mailing list:

===============================================================
[Jinfeng]

Calcite (formly Optiq) has set the maximum length for an SQL identifier to 128.  This sounds quite reasonable for an ordinary sql identifier.  However, for system like Drill which allows user to query a file directly, it's quite likely to run out of the allowed identifier length. 

Drill allows the use case of :
   
         select * from dfs.schema.`directory1/directory2/filename.json`;

The directory plus the filename is parsed as a SQL identifer. Since many file system would allow file name up to 255 bytes [1], it's likely user could use an identifier with more than 128 bytes when query the file directly.  

I would like to ask the Calcite community whether there is any performance impact if we bump up the maximum length for a SQL identifier.  If there is negligible performance impact, then, can we make the maximum length configurable in the SQL parser?  We could make slightly modification to CombinedParser.jj template, to allow each system to set its own max length, with default still being 128.

The approach to allow a configurable setting seems to be match what Postgres [2] is doing, which allows the length to be ""raised by changing the NAMEDATALEN constant in src/include/pg_config_manual.h."" [2]


[Julian]

Each system should be able to choose its own identifier max length.

Iâ€™d prefer to make it configurable at runtime. Then we can test it. Add an extra parameter to SqlParserâ€™s constructor, and have it call parser.setIdentifierMaxLength, similar to how it calls setQuotedCasing right now.

Or if you want to go further, create

interface SqlParser.Config {
 int identifierMaxLength();
 Casing quotedCasing();
 Casing unquotedCasing();
}

and replace all of the parameters of SqlParserâ€™s constructor with one Config parameter.
","Duplicated Code, Long Method, , , "
"   Rename Method,Move Method,Extract Method,",Add RelDistribution trait and Exchange relational expression Calcite is increasingly targeting to support distributed execution engines. Any distributed sql engine has Shuffle/Exchange operator to shuffle their data with other deamons in the runtime system. It will be useful to add a notion of {{Shuffle}} RelNode as a first class citizen in Calcite.,"Duplicated Code, Long Method, , , "
"   Extract Method,Move Attribute,",Add Avatica support for getTables Per the title.,"Duplicated Code, Long Method, , , "
